"Qty";"Value";"Device";"Package";"Parts";"Description";"MANUFACTURER";"MF";"MPN";"OC_FARNELL";"OC_MOUSER";"OC_NEWARK";"PACKAGE";"SUPPLIER";"TOLERANCE";"VALUE";"VOLTAGERATING";"VOLTAGE_RATING";"WATTAGE";
"1";"";"SMA6J33CA";"DO-214AC";"D1";"TVS - Diode SMA6J series";"";"";"SMA6J33CA-TR";"1689245";"";"";"DO-214AC";"ST-Microelectronics";"";"";"";"";"";
"1";"";"WE-CBF-74279218_1206";"1206";"L1";"SMD EMI Suppression Ferrite Beads WE-CBF";"";"";"74279218";"1635758";"";"08P2403";"IND-1206";"Wuerth Elektronik";"";"";"";"";"";
"16";"";"WE-VS-82550110_0805";"WESURGE_0805";"RV1, RV2, RV3, RV4, RV5, RV6, RV7, RV8, RV9, RV10, RV11, RV12, RV13, RV14, RV15, RV16";"WESURGE SMD Varistor WE-VS";"";"";"82550110";"1636441";"";"08P3035";"0805";"WURTH ELEKTRONIK";"";"";"";"";"";
"1";" 47UF";"EEE-FK1C470P-CASE-D";"CAPAE660X610N";"C41";"Aluminum Electrolytic Capacitors,Surface Mount Type";"";"";"EEE-FK1C470P";"1850100  ";"";"23T0848";"CASE-D";"PANASONIC";"±20 %";" 47UF";"16V";"";"";
"2";"0 Ohms";"CRCW12060000Z0EA";"RESC3216X71N";"R66, R71";"RESISTOR, 1206";"";"";"CRCW12060000Z0EA";"1469963";"";"53K1778";"";"Vishay";"-";"0 Ohms";"";"";"0.25W";
"30";"1000pF";"C1206C102KDRACTU";"CAPC3216X88N";"C19, C20, C21, C22, C27, C28, C29, C30, C35, C36, C37, C38, C43, C44, C45, C46, C47, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C65, C66";"Capacitor 1206";"";"KEMET";"C1206C102KDRACTU";"1826304";"";"";"";"Kemet";"+/- 10%";"1000pF";"";"1000V";"";
"1";"100nF";"C0805C104K5RACTU";"CAPC2013X110N";"C42";"CAPACITOR, 0805";"";"";"C0805C104K5RACTU";"1414664";"";"65H7431";"";"Kemet";"±10%";"100nF";"50V";"";"";
"3";"100nF";"C0805C104K5RACTU";"CAPC2013X110N";"C2, C48, C49";"CAPACITOR, 0805";"";"KEMET";"C0805C104K5RACTU";"1414664";"";"65H7431";"";"Kemet";"±10%";"100nF";"50V";"";"";
"1";"100pF";"C0805C101J5GACTU";"CAPC2013X88N";"C52";"CAPACITOR, 0805";"";"KEMET";"C0805C101J5GACTU";"1414656";"";"19C6007";"";"Kemet";"±5%";"100pF";"50V";"";"";
"6";"10K Ohms";"CRCW080510K0JNEA";"RESC2013X65N";"R67, R68, R69, R70, R83, R84";"RESISTOR, 0805";"";"VISHAY DRALORIC";"CRCW080510K0JNEA";"1469857";"";"52K9797";"";"Vishay";"±5%";"10K Ohms";"";"";"0.125 W";
"25";"10nF";"C0805C103K1RACTU";"CAPC2013X88N";"C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C23, C24, C25, C26, C31, C32, C33, C34, C64";"CAPACITOR, 0805";"";"KEMET";"C0805C103K1RACTU";"1414661";"";"99B3817";"";"Kemet";"±10%";"10nF";"100V";"";"";
"1";"10pF";"C0805C100J5GACTU";"CAPC2013X88N";"C51";"CAPACITOR, 0805";"";"KEMET";"C0805C100J5GACTU";"1414654";"";"64K2873";"";"Kemet";"±5%";"10pF";"50V";"";"";
"1";"12pF";"C0805C120J5GACTU";"CAPC2013X88N";"C50";"CAPACITOR, 0805";"";"KEMET";"C0805C120J5GACTU";"1414666";"";"64K2898";"";"Kemet";"±5%";"12pF";"50V";"";"";
"1";"140-08-FLACHBAND1.27";"140-08-FLACHBAND1.27";"2,54_2X8";"X13";"IDC Leiterplattenverbinder RM 2,54";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1K Ohms";"CRCW08051K00FKEA";"RESC2013X65N";"R87";"RESISTOR, 0805";"";"VISHAY DRALORIC";"CRCW08051K00FKEA";"1469847";"";"52K9723";"";"Vishay";"±1%";"1K Ohms";"";"";"0.125 W";
"28";"1K Ohms";"CRCW08051K00JNEA";"RESC2013X65N";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R18, R19, R20, R33, R38, R39, R40, R46, R47, R48, R49, R57, R58, R59, R60, R62, R63, R64, R65";"RESISTOR, 0805";"";"VISHAY DRALORIC";"CRCW08051K00JNEA";"1652937";"";"52K9725";"";"Vishay";"±5%";"1K Ohms";"";"";"0.125 W";
"1";"2.2uF";"C1206C225K5RACTU";"CAPC3216X180N";"C1";"CAPACITOR, 1206";"";"";"C1206C225K5RACTU";"1288208";"";"88K0223";"";"Kemet";"±10%";"2.2uF";"50V";"";"";
"1";"24AA256-I/SN";"24AA256-I/SN";"SOIC127P600X175-8N";"U16";"EEPROM";"";"MICROCHIP";"24AA256-I/SN";"1331295";"";"92C6874";"SOIC-8";"MICROCHIP";"";"";"";"";"";
"25";"4.7K Ohms";"CRCW08054K70JNEB";"RESC2013X65N";"R25, R26, R27, R28, R29, R30, R31, R32, R34, R35, R36, R37, R41, R42, R43, R44, R45, R50, R51, R52, R53, R54, R55, R56, R61";"RESISTOR, 0805";"";"VISHAY DRALORIC";"CRCW08054K70JNEB";"1872057";"";"65J2003";"";"Vishay Dale";"±5%";"4.7K Ohms";"";"";"0.125W";
"2";"4700pF";"C0805F472K1RACAUTO";"CAPC2013X88N";"C39, C40";"CAPACITOR, 0805";"";"";"C0805F472K1RACAUTO";"1869057";"";"32T6750";"";"KEMET";"±10%";"4700pF";"100V";"";"";
"12";"47K Ohms";"CRCW080547K0JNEA";"RESC2013X65N";"R10, R11, R12, R13, R14, R15, R16, R17, R21, R22, R23, R24";"RESISTOR, 0805";"";"VISHAY DRALORIC";"CRCW080547K0JNEA";"1514867";"";"59M6914";"";"VISHAY DALE ELECTRONICS";"±5%";"47K Ohms";"";"";"0.125 W";
"2";"90G-14";"90G-14";"90G-14";"X3, X4";"Weidmüller Clamp Connector";"";"";"SL 3.50/14/90G";"";"";"";"";"Weidmüller";"";"";"";"";"";
"1";"944-12-2-00";"944-12-2-00";"2,54_2X1";"X14";"Stiftleiste RM 2,54mm gerade 2 x 1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"944-12-46-00";"944-12-46-00";"2,54_STIFTLEIST_2X23";"X1, X2";"2.54 mm 2 - reihiger male connector";"";"";"944-12-46-00";"";"";"";"";"W+P";"";"";"";"";"";
