"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"TOLERANCE";"VALUE";"VOLTAGERATING";"WATTAGE";
"4";"0.082µF";"C0805C180J5GACTU";"CAPC2013X88N";"C1, C2, C6, C7";"CAPACITOR, 0805";"";"MC0805B823K500CT";"1759264";"";"";"MULTICOMP";"±10%";"18pF";"50V";"";
"3";"100nF";"C0805C104K5RACTU";"CAPC2013X110N";"C3, C8, C12";"CAPACITOR, 0805";"KEMET";"C0805C104K5RACTU";"1414664";"65H7431";"";"Kemet";"±10%";"100nF";"50V";"";
"6";"10K Ohms";"CRCW080510K0JNEA";"RESC2013X65N";"R28, R29, R30, R31, R32, R33";"RESISTOR, 0805";"VISHAY DRALORIC";"CRCW080510K0JNEA";"1469857";"52K9797";"";"Vishay";"±5%";"10K Ohms";"";"0.125 W";
"4";"180pF";"C0805C180J5GACTU";"CAPC2013X88N";"C4, C5, C9, C10";"CAPACITOR, 0805";"KEMET";"C0805C181J5GACTU";"1414674";"";"";"Kemet";"±5%";"18pF";"50V";"";
"1";"24AA256-I/SN";"24AA256-I/SN";"SOIC127P600X175-8N";"U16";"EEPROM";"MICROCHIP";"24AA256-I/SN";"1331295";"92C6874";"SOIC-8";"MICROCHIP";"";"";"";"";
"4";"49.9 Ohms";"CRCW080549R9FKEA";"RESC2013X65N";"R5, R6, R15, R16";"RESISTOR, 0805";"";"MCTC0525B499JT5E";"1575515";"";"";"MULTICOMP";"±0.1%";"49.9 Ohms";"";"0.1 W";
"8";"499 Ohms";"CRCW0805499RFKEA";"RESC2013X65N";"R7, R8, R9, R10, R17, R18, R19, R20";"RESISTOR, 0805";"";"ERA6AEB4990V";"1810472 ";"";"";"PANASONIC ELECTRONIC COMPONENTS";"±0.1%";"499 Ohms";"";"0.125 W";
"4";"5.49K Ohms";"CRCW08055K49FKEA";"RESC2013X65N";"R3, R4, R13, R14";"RESISTOR, 0805";"";"PCF0805R-5K49BI";"1160182";"";"";"WELWYN";"±0.1%";"5.49K Ohms";"";"0.125 W";
"4";"9.76K Ohms";"CRCW08059K76FKEA";"RESC2013X65N";"R1, R2, R11, R12";"RESISTOR, 0805";"";"MCTC0525B9761T5E";"1575899 ";"";"";"MULTICOMP";"±0.1%";"9.76K Ohms";"";"0.125 W";
"1";"9012-26";"9012-26";"9012-26";"X1";"SMT-Buchsenleiste RM 1,27mm, liegend";"";"9012-26";"";"";"";"W+P";"";"";"";"";
"1";"944-12-08-00";"944-12-08-00";"2,54_2X8";"X2";"Stiftleiste RM 2,54mm gerade 2 x 4";"";"";"";"";"";"";"";"";"";"";
"2";"OPA2170AID";"OPA2170AID";"SOIC127P600X175-8N";"U1, U6";"Low-Power OPERATIONAL AMPLIFIERS,SOIC- 8";"TEXAS INSTRUMENTS";"OPA2170AID";"2144252";"05W9871";"SOIC- 8";"TEXAS INSTRUMENTS";"";"";"";"";
