"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"TOLERANCE";"VALUE";"VOLTAGERATING";"WATTAGE";
"10";"100nF";"C0805C104K5RACTU";"CAPC2013X110N";"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10";"CAPACITOR, 0805";"KEMET";"C0805C104K5RACTU";"1414664";"65H7431";"";"Kemet";"±10%";"100nF";"50V";"";
"4";"105K Ohms";"CRCW0805105KFKEA";"RESC2013X65N";"R6, R12, R18, R24";"RESISTOR, 0805";"";"MCTC0525B1053T5E";"1576016";"";"";"MULTICOMP";"±0.1%";"105K Ohms";"";"0.125 W";
"8";"10K Ohms";"CRCW080510K0JNEA";"RESC2013X65N";"R26, R27, R28, R29, R30, R31, R32, R33";"RESISTOR, 0805";"VISHAY DRALORIC";"CRCW080510K0JNEA";"1469857";"52K9797";"";"Vishay";"±5%";"10K Ohms";"";"0.125 W";
"4";"10k Ohms";"CRCW080524K9FKEA";"RESC2013X65N";"R1, R10, R16, R22";"RESISTOR, 0805";"";"ERA6AEB103V";"1577673";"";"";"PANASONIC";"±0.1%";"24.9K Ohms";"";"0.125 W";
"4";"11.5kohms";"ERJ6ENF3242V";"RESC2013X65N";"R2, R9, R15, R21";"RESISTOR, 0805";"";"MCTC0525B1152T5E";"1575906";"";"";"MULTICOMP";"+/- 0.1%";"32.4kohms";"";"0.125 W";
"4";"12.7K Ohms";"CRCW080530K0FKEA";"RESC2013X65N";"R3, R8, R14, R20";"RESISTOR, 0805";"";"MCTC0525B1272T5E";"1575914";"";"";"MULTICOMP";"±0.1%";"30K Ohms";"";"0.125 W";
"4";"1K Ohms";"CRCW08051K00FKEA";"RESC2013X65N";"R4, R11, R17, R23";"RESISTOR, 0805";"";"ERA6AEB102V";"1577659";"";"";"PANASONIC";"±0.1%";"1K Ohms";"";"0.125 W";
"1";"24AA256-I/SN";"24AA256-I/SN";"SOIC127P600X175-8N";"U16";"EEPROM";"MICROCHIP";"24AA256-I/SN";"1331295";"92C6874";"SOIC-8";"MICROCHIP";"";"";"";"";
"4";"3K Ohms";"CRCW080530K0FKEA";"RESC2013X65N";"R5, R7, R19, R25";"RESISTOR, 0805";"";"ERA6AEB302V";"1670234";"";"";"Panasonic";"±0.1%";"30K Ohms";"";"0.125 W";
"1";"560 Ohms";"CRCW080510K0JNEA";"RESC2013X65N";"R13";"RESISTOR, 0805";"MULTICOMP";"MCMR08X561 JTL";"2073807";"";"";"MULTICOMP";"±5%";"10K Ohms";"";"0.125 W";
"1";"9012-26";"9012-26";"9012-26";"X3";"SMT-Buchsenleiste RM 1,27mm, liegend";"";"9012-26";"";"";"";"W+P";"";"";"";"";
"2";"944-12-08-00";"944-12-08-00";"2,54_2X8";"X1, X2";"Stiftleiste RM 2,54mm gerade 2 x 4";"";"";"";"";"";"";"";"";"";"";
"1";"ADS1015IDGST";"ADS1015IDGST";"SOP50P490X110-10N";"U4";"Ultra-Small, Low-Power, 12-Bit Analog-to-Digital Converter with Internal Reference";"TEXAS INSTRUMENTS";"ADS1015IDGST";"1778211";"35R0211";"MSOP-10";"Texas Instruments";"";"";"";"";
"1";"LM4030CMF-2.5";"LM4030CMF-2.5";"R-PDSO-G5";"REF1";"LM4030 Shunt high precission voltage ref.";"";"LM4030CMF-2.5/NOPB";"2492620 ";"";"";"TEXAS INSTRUMENTS ";"";"";"";"";
"2";"OPA2188AIDGKR";"OPA2188AIDGKR";"SOP65P490X110-8N";"U1, U2";"OP AMP, GP, RR, 2MHZ, 36-V, Zero-Drift,8MSOP";"TEXAS INSTRUMENTS";"OPA2188AIDGKR";"2057091";"61T5955";"8MSOP";"TEXAS INSTRUMENTS";"";"";"";"";
