"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"TOLERANCE";"VALUE";"VOLTAGERATING";"WATTAGE";
"4";"0.082µF";"C0805C180J5GACTU";"CAPC2013X88N";"C4, C5, C7, C8";"CAPACITOR, 0805";"";"MC0805B823K500CT";"1759264";"";"";"MULTICOMP";"±10%";"18pF";"50V";"";
"1";"10.2K Ohms";"CRCW080510K2FKEA";"RESC2013X65N";"R42";"RESISTOR, 0805";"VISHAY DRALORIC";"CRCW080510K2FKEA";"1574022";"52K9798";"";"VISHAY DALE ELECTRONICS";"±1%";"10.2K Ohms";"";"0.125 W";
"4";"100nF";"C0805C104K5RACTU";"CAPC2013X110N";"C1, C2, C3, C6";"CAPACITOR, 0805";"";"C0805C104K5RACTU";"1414664";"65H7431";"";"Kemet";"±10%";"100nF";"50V";"";
"1";"100nF";"C0805C104K5RACTU";"CAPC2013X110N";"C10";"CAPACITOR, 0805";"KEMET";"C0805C104K5RACTU";"1414664";"65H7431";"";"Kemet";"±10%";"100nF";"50V";"";
"8";"10K Ohms";"CRCW080510K0JNEA";"RESC2013X65N";"R1, R2, R3, R4, R5, R6, R28, R30";"RESISTOR, 0805";"VISHAY DRALORIC";"CRCW080510K0JNEA";"1469857";"52K9797";"";"Vishay";"±5%";"10K Ohms";"";"0.125 W";
"1";"10uF";"C0805C106K8PACTU";"CAPC2013X140N";"C40";"CAPACITOR, 0805";"KEMET";"C0805C106K8PACTU";"1463362";"70K9138";"";"Kemet";"±10%";"10uF";"10V";"";
"1";"10uF";"C1206C106K3PACTU";"CAPC3216X180N";"C42";"CAPACITOR, 1206";"KEMET";"C1206C106K3PACTU";"1288206";"88K0222";"";"Kemet";"±10%";"10uF";"25V";"";
"4";"1K Ohms";"CRCW08051K00FKEA";"RESC2013X65N";"R7, R8, R17, R18";"RESISTOR, 0805";"";"CRCW08051K00FKEA";"1469847";"52K9723";"";"Vishay";"±1%";"1K Ohms";"";"0.125 W";
"4";"1K Ohms";"CRCW08051K00FKEA";"RESC2013X65N";"R10, R12, R14, R16";"RESISTOR, 0805";"";"ERA6AEB102V";"1577659";"";"";"PANASONIC";"±0.1%";"1K Ohms";"";"0.125 W";
"1";"1M Ohms";"CRCW08051M00FKTB";"RESC2013X65N";"R40";"RESISTOR, 0805";"VISHAY DRALORIC";"CRCW08051M00FKTB";"1853267";"49P0051";"";"Vishay Dale";"±1%";"1M Ohms";"";"0.125W";
"1";"20V 2A";"SCHOTTKY-DIODESMD";"SMB";"D1";"Schottky Diode";"BOURNS";"";"";"";"";"";"";"";"";"";
"1";"220pF";"C0805C221J5GACTU";"CAPC2013X88N";"C41";"CAPACITOR, 0805";"KEMET";"C0805C221J5GACTU";"1414679";"64K2915";"";"Kemet";"±5%";"220pF";"50V";"";
"1";"22nF";"C0805C223K5RACTU";"CAPC2013X88N";"C43";"CAPACITOR, 0805";"KEMET";"C0805C223K5RACTU";"1414682";"20C2718";"";"Kemet";"±10%";"22nF";"50V";"";
"1";"24AA256-I/SN";"24AA256-I/SN";"SOIC127P600X175-8N";"U5";"EEPROM";"MICROCHIP";"24AA256-I/SN";"1331295";"92C6874";"SOIC-8";"MICROCHIP";"";"";"";"";
"4";"3K Ohms";"CRCW080530K0FKEA";"RESC2013X65N";"R9, R11, R13, R15";"RESISTOR, 0805";"";"ERA6AEB302V";"1670234";"";"";"Panasonic";"±0.1%";"30K Ohms";"";"0.125 W";
"1";"6.8µH 2.91A";"WE-PD-7447779006_7332/7345_PLASTIC_BASE";"WE-PD_7332/7345_PLASTIC_BASE";"L1";"SMD-Shielded Power Inductors WE-PD";"WURTH ELEKTRONIK";"7447779006";"1635987";"08P2857";"7345";"Wuerth Elektronik";"";"";"";"";
"1";"86.6K Ohms";"CRCW080586K6FKEA";"RESC2013X65N";"R41";"RESISTOR, 0805";"VISHAY DRALORIC";"CRCW080586K6FKEA";"1570801";"89M6835";"";"VISHAY DALE ELECTRONICS";"±1%";"86.6K Ohms";"";"0.125 W";
"1";"9012-26";"9012-26";"9012-26";"X3";"SMT-Buchsenleiste RM 1,27mm, liegend";"";"9012-26";"";"";"";"W+P";"";"";"";"";
"2";"944-12-08-00";"944-12-08-00";"2,54_2X8";"X1, X2";"Stiftleiste RM 2,54mm gerade 2 x 4";"";"";"";"";"";"";"";"";"";"";
"1";"LMR62421XMF";"LMR62421XMF";"SOT95P290X145-5N";"U6";"IC, SIMPLE SWITCHER 24Vout, 2.1A Step-Up Voltage Regulator in SOT-23-5";"";"LMR62421XMF";"2064678 ";"75T7401";"SOT-23-5";"TEXAS INSTRUMENTS";"";"";"";"";
"1";"LTC2635HMSE-LMI12PBF";"LTC2635HMSE-LMI12PBF";"SOP50P490X110-11N";"U1";"I2C VOUT DAC";"";"LTC2635HMSE-LMI12#PBF";"1839182";"52R9837";"MSOP-10";"Linear Technology";"";"";"";"";
"2";"OPA2170AID";"OPA2170AID";"SOIC127P600X175-8N";"U2, U3";"Low-Power OPERATIONAL AMPLIFIERS,SOIC- 8";"TEXAS INSTRUMENTS";"OPA2170AID";"2144252";"05W9871";"SOIC- 8";"TEXAS INSTRUMENTS";"";"";"";"";
