Part Number;Quantity;Description
1636442;4;WESURGE SMD Varistor WE-VS
1849801;4;Potentiometers
1469963;1;RESISTOR, 1206
1826304;5;Capacitor 1206
1414664;5;CAPACITOR, 0805
1652908;4;RESISTOR, 0805
1469857;1;RESISTOR, 0805
1469847;4;RESISTOR, 0805
1469901;4;RESISTOR, 0805
1469914;4;RESISTOR, 0805
2303704;4;RESISTOR, 0805
1778211;1;Ultra-Small, Low-Power, 12-Bit Analog-to-Digital Converter with Internal Reference
2057091;2;OP AMP, GP, RR, 2MHZ, 36-V, Zero-Drift,8MSOP
1234684;1;CMOS VOLTAGE REFERENCE
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
