"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POWERRATING";"SUPPLIER";"TOLERANCE";"VALUE";"VOLTAGERATING";"VOLTAGE_RATING";"WATTAGE";
"1";"";"CON-10X2MM";"2MM-10-THT";"X2";"THT pin connector male";"";"";"unknown";"";"";"";"";"";"";"";"";"";
"4";"";"MC-VZ-MCVZ0805M180AGT_0805";"WESURGE_0805";"RV1, RV2, RV3, RV4";"SMD Varistor";"MULTICOMP";"MCVZ0805M180AGT";"1856938";"";"0805";"";"MULTICOMP";"";"";"";"";"";
"4";" 10KOHM ";"EVM3YSX50B14-3W";"POT_EVM3W";"R1, R7, R14, R20";"Potentiometers";"PANASONIC ELECTRONIC COMPONENTS";"EVM3YSX50B14";"1849801";"48W0124";"EVM3Y ";" 0.15W ";"PANASONIC";"±25 %";" 10KOHM ";"";"";"";
"1";"0 Ohms";"CRCW12060000Z0EA";"RESC3216X71N";"R26";"RESISTOR, 1206";"VISHAY DRALORIC";"CRCW12060000Z0EA";"1469963";"53K1778";"";"";"Vishay";"-";"0 Ohms";"";"";"0.25W";
"5";"1000pF";"C1206C102KDRACTU";"CAPC3216X88N";"C1, C4, C8, C9, C10";"Capacitor 1206";"KEMET";"C1206C102KDRACTU";"1826304";"";"";"";"Kemet";"+/- 10%";"1000pF";"";"1000V";"";
"5";"100nF";"C0805C104K5RACTU";"CAPC2013X110N";"C2, C3, C5, C6, C7";"CAPACITOR, 0805";"KEMET";"C0805C104K5RACTU";"1414664";"65H7431";"";"";"Kemet";"±10%";"100nF";"50V";"";"";
"4";"105K Ohms";"CRCW0805105KFKEA";"RESC2013X65N";"R6, R12, R19, R25";"RESISTOR, 0805";"VISHAY DRALORIC";"CRCW0805105KFKEA";"1652908";"52K9813";"";"";"Vishay";"±1%";"105K Ohms";"";"";"0.125 W";
"1";"10K Ohms";"CRCW080510K0JNEA";"RESC2013X65N";"R13";"RESISTOR, 0805";"VISHAY DRALORIC";"CRCW080510K0JNEA";"1469857";"52K9797";"";"";"Vishay";"±5%";"10K Ohms";"";"";"0.125 W";
"4";"1K Ohms";"CRCW08051K00FKEA";"RESC2013X65N";"R5, R11, R18, R24";"RESISTOR, 0805";"VISHAY DRALORIC";"CRCW08051K00FKEA";"1469847";"52K9723";"";"";"Vishay";"±1%";"1K Ohms";"";"";"0.125 W";
"4";"24.9K Ohms";"CRCW080524K9FKEA";"RESC2013X65N";"R2, R10, R17, R23";"RESISTOR, 0805";"VISHAY DRALORIC";"CRCW080524K9FKEA";"1469901";"53K0043";"";"";"Vishay";"±1%";"24.9K Ohms";"";"";"0.125 W";
"4";"30K Ohms";"CRCW080530K0FKEA";"RESC2013X65N";"R3, R8, R15, R21";"RESISTOR, 0805";"VISHAY DRALORIC";"CRCW080530K0FKEA";"1469914";"53K0136";"";"";"Vishay";"±1%";"30K Ohms";"";"";"0.125 W";
"4";"32.4kohms";"ERJ6ENF3242V";"RESC2013X65N";"R4, R9, R16, R22";"RESISTOR, 0805";"PANASONIC ELECTRONIC COMPONENTS";"ERJ6ENF3242V";"2303704";"";"";"";"PANASONIC ELECTRONIC COMPONENTS";"+/- 1%";"32.4kohms";"";"";"0.125 W";
"1";"ADS1015IDGST";"ADS1015IDGST";"SOP50P490X110-10N";"U4";"Ultra-Small, Low-Power, 12-Bit Analog-to-Digital Converter with Internal Reference";"TEXAS INSTRUMENTS";"ADS1015IDGST";"1778211";"35R0211";"MSOP-10";"";"Texas Instruments";"";"";"";"";"";
"2";"OPA2188AIDGKR";"OPA2188AIDGKR";"SOP65P490X110-8N";"U1, U2";"OP AMP, GP, RR, 2MHZ, 36-V, Zero-Drift,8MSOP";"TEXAS INSTRUMENTS";"OPA2188AIDGKR";"2057091";"61T5955";"8MSOP";"";"TEXAS INSTRUMENTS";"";"";"";"";"";
"1";"REF3025AIDBZTG4";"REF3025AIDBZTG4";"SOT95P237X112-3N";"U3";"CMOS VOLTAGE REFERENCE";"TEXAS INSTRUMENTS";"REF3025AIDBZTG4";"1234684";"13M5187";"SOT-23-3";"";"TEXAS INSTRUMENTS";"";"";"";"";"";
"1";"S2L3.50/10/90G";"S2L3.50/10/90G";"S2L-90G-10";"X1";"OMNIMATE S2L3.50/10/90G Fa. Weidmüller";"";"";"unknown";"";"";"";"Weidmüller";"";"";"";"";"";
